               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11923,            0.071567,                   0,             0.03918,            0.081081,             0.01286,           0.0033529,             0.11175,             0.10007,                   0,                   0,                   0,                 0.1
                   1,             0.11909,            0.071846,                   0,            0.025889,             0.16216,            0.012834,           0.0026002,             0.11138,             0.10033,                   0,          9.9921e-06,          9.9921e-06,             0.09991
                   2,             0.11862,            0.085969,                   0,            0.037007,             0.18919,            0.014376,           0.0026881,             0.11099,             0.10095,                   0,          1.9937e-05,          1.9937e-05,             0.09982
                   3,             0.11877,            0.088699,                   0,             0.03659,             0.18919,            0.014365,            0.002751,             0.11053,             0.10168,                   0,          2.9787e-05,          2.9787e-05,             0.09973
                   4,             0.11809,             0.06814,                   0,             0.03749,             0.18919,            0.013589,            0.002694,             0.10995,             0.10255,                   0,          3.9497e-05,          3.9497e-05,            0.099639
                   5,             0.11821,            0.080398,                   0,            0.037964,             0.18919,            0.014606,           0.0025302,              0.1093,             0.10357,                   0,          4.9021e-05,          4.9021e-05,            0.099549
                   6,             0.11813,            0.083413,                   0,            0.037806,             0.18919,            0.016042,           0.0027574,             0.10862,             0.10461,                   0,          5.8315e-05,          5.8315e-05,            0.099458
                   7,             0.11734,            0.097859,                   0,            0.031794,             0.16216,             0.01474,           0.0031264,             0.10784,             0.10576,                   0,          6.7335e-05,          6.7335e-05,            0.099367
                   8,              0.1176,            0.096012,                   0,            0.031553,             0.16216,              0.0157,           0.0032835,             0.10697,             0.10701,                   0,          7.6042e-05,          7.6042e-05,            0.099276
                   9,             0.11624,              0.1061,                   0,             0.03595,             0.18919,            0.016592,           0.0036631,             0.10614,             0.10819,                   0,          8.4396e-05,          8.4396e-05,            0.099184
                  10,             0.11534,            0.087951,                   0,            0.036682,             0.18919,            0.018214,           0.0038873,              0.1053,             0.10939,                   0,          9.2361e-05,          9.2361e-05,            0.099092
                  11,             0.11442,            0.085332,                   0,            0.041728,             0.21622,            0.020674,           0.0038723,             0.10436,             0.11069,                   0,          9.9903e-05,          9.9903e-05,               0.099
                  12,              0.1149,            0.094349,                   0,            0.041658,             0.21622,            0.022041,           0.0035347,             0.10344,             0.11196,                   0,          0.00010699,          0.00010699,            0.098907
