               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12067,            0.092244,                   0,            0.029738,             0.13514,             0.01333,            0.002576,              0.1114,             0.10001,                   0,               7e-05,               7e-05,             0.09937
                   1,             0.11748,            0.062743,                   0,            0.042293,             0.21622,            0.018241,           0.0034735,              0.1108,             0.10064,                   0,          0.00014988,          0.00014988,             0.09865
                   2,             0.11936,              0.1027,                   0,            0.037553,             0.16216,            0.018861,           0.0038293,             0.11022,             0.10088,                   0,          0.00022927,          0.00022927,            0.097929
                   3,             0.11794,            0.098862,                   0,             0.03165,             0.24324,            0.016657,           0.0030944,             0.10941,             0.10111,                   0,           0.0003078,           0.0003078,            0.097208
                   4,             0.12034,            0.066394,                   0,             0.03075,             0.24324,            0.016463,            0.002467,              0.1084,             0.10169,                   0,           0.0003851,           0.0003851,            0.096485
                   5,             0.11532,             0.10174,                   0,            0.037278,             0.16216,            0.019404,           0.0035667,             0.10777,             0.10167,                   0,           0.0004608,           0.0004608,            0.095761
                   6,             0.11495,            0.089349,                   0,            0.035339,             0.18919,            0.017989,           0.0031575,             0.10693,             0.10174,                   0,          0.00053455,          0.00053455,            0.095035
                   7,              0.1066,            0.092918,                   0,            0.039282,             0.13514,             0.01758,           0.0027617,             0.10548,             0.10297,                   0,          0.00060602,          0.00060602,            0.094306
                   8,             0.11145,            0.070989,                   0,            0.037869,             0.10811,             0.01591,           0.0027044,             0.10392,              0.1051,                   0,          0.00067487,          0.00067487,            0.093575
                   9,              0.1088,            0.083425,                   0,            0.044922,            0.081081,            0.015747,           0.0027764,             0.10169,             0.10705,                   0,          0.00074081,          0.00074081,            0.092841
                  10,             0.10699,            0.082969,                   0,            0.041667,             0.10811,            0.020492,             0.00353,            0.099301,             0.10995,                   0,          0.00080354,          0.00080354,            0.092104
                  11,             0.10659,             0.11334,                   0,            0.083264,             0.10811,            0.026924,           0.0057198,            0.097389,             0.11134,                   0,           0.0008628,           0.0008628,            0.091363
                  12,             0.10307,             0.10345,                   0,            0.080147,             0.13514,             0.03081,            0.006499,            0.095438,             0.11296,                   0,          0.00091834,          0.00091834,            0.090618
                  13,             0.10158,            0.089625,                   0,            0.068511,             0.18919,            0.031463,           0.0059314,            0.093363,             0.11441,                   0,          0.00096994,          0.00096994,             0.08987
                  14,              0.1016,             0.14309,                   0,            0.075546,             0.18919,            0.034948,            0.006035,            0.092168,             0.11533,                   0,           0.0010174,           0.0010174,            0.089117
                  15,            0.098559,              0.1209,                   0,            0.078894,             0.16216,            0.034024,           0.0057886,            0.090055,             0.11643,                   0,           0.0010606,           0.0010606,            0.088361
                  16,            0.096944,             0.13194,                   0,            0.079669,             0.24324,            0.045538,           0.0087068,            0.088425,             0.11618,                   0,           0.0010993,           0.0010993,            0.087599
                  17,            0.093192,             0.12373,                   0,             0.10995,             0.13514,            0.049377,           0.0071009,             0.08708,             0.11728,                   0,           0.0011336,           0.0011336,            0.086834
                  18,            0.093257,              0.1259,                   0,             0.11313,             0.27027,            0.058141,            0.013355,            0.084606,             0.11774,                   0,           0.0011632,           0.0011632,            0.086063
                  19,            0.093308,             0.11092,                   0,             0.11564,             0.24324,             0.06115,            0.012499,            0.083578,               0.118,                   0,           0.0011881,           0.0011881,            0.085288
                  20,                0.09,             0.11274,                   0,             0.13604,             0.24324,            0.074462,              0.0143,            0.082574,              0.1181,                   0,           0.0012084,           0.0012084,            0.084508
                  21,            0.091546,             0.11244,                   0,             0.14814,             0.24324,            0.088817,             0.01835,             0.08076,             0.11861,                   0,           0.0012241,           0.0012241,            0.083724
                  22,            0.086872,             0.11915,                   0,             0.12845,             0.29478,            0.084307,            0.019066,            0.079614,             0.11842,                   0,           0.0012352,           0.0012352,            0.082935
                  23,            0.093883,             0.14371,                   0,             0.15877,             0.37838,              0.1122,            0.025027,            0.078314,             0.11799,                   0,           0.0012418,           0.0012418,            0.082142
                  24,            0.085079,             0.11036,                   0,             0.15662,             0.45946,             0.11942,            0.027559,            0.077658,             0.11761,                   0,            0.001244,            0.001244,            0.081344
                  25,            0.088065,             0.10779,                   0,             0.18909,             0.53572,             0.13929,             0.03051,            0.076921,             0.11698,                   0,            0.001242,            0.001242,            0.080542
                  26,            0.083392,             0.11257,                   0,             0.18472,             0.48649,             0.14315,            0.029424,            0.076153,             0.11681,                   0,            0.001236,            0.001236,            0.079736
                  27,            0.086455,             0.12935,                   0,             0.16495,             0.51351,             0.14013,            0.029447,             0.07537,             0.11624,                   0,           0.0012262,           0.0012262,            0.078926
                  28,            0.090104,             0.15126,                   0,             0.19828,             0.62162,             0.17153,            0.037478,            0.074769,             0.11491,                   0,           0.0012129,           0.0012129,            0.078113
